filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
church.Semcor.ppmi0.ll0.COHA.ppmi0.ll0	church	Semcor	ppmi0	ll0	10	10	COHA	ppmi0	ll0	10	10	287	10	10	0.236663362557652
church.Semcor.ppmi0.ll0.COHA.ppmi0.ll1	church	Semcor	ppmi0	ll0	10	10	COHA	ppmi0	ll1	10	10	287	10	10	0.239346024905817
church.Semcor.ppmi0.ll0.COHA.ppmi1.ll0	church	Semcor	ppmi0	ll0	10	10	COHA	ppmi1	ll0	10	10	287	10	10	0.229393515880851
church.Semcor.ppmi0.ll0.COHA.ppmi1.ll1	church	Semcor	ppmi0	ll0	10	10	COHA	ppmi1	ll1	10	10	287	10	10	0.229224408698909
church.Semcor.ppmi0.ll0.COHA.ppmi2.ll0	church	Semcor	ppmi0	ll0	10	10	COHA	ppmi2	ll0	10	10	284	10	10	0.242637464149964
church.Semcor.ppmi0.ll0.COHA.ppmi2.ll1	church	Semcor	ppmi0	ll0	10	10	COHA	ppmi2	ll1	10	10	284	10	10	0.240889782012072
church.Semcor.ppmi0.ll0.Semcor.ppmi0.ll0	church	Semcor	ppmi0	ll0	10	10	Semcor	ppmi0	ll0	10	10	292	10	10	0.266890818039838
church.Semcor.ppmi0.ll0.Semcor.ppmi0.ll1	church	Semcor	ppmi0	ll0	10	10	Semcor	ppmi0	ll1	10	10	287	10	10	0.275192666347996
church.Semcor.ppmi0.ll0.Semcor.ppmi1.ll0	church	Semcor	ppmi0	ll0	10	10	Semcor	ppmi1	ll0	10	10	287	10	10	0.271105607862929
church.Semcor.ppmi0.ll0.Semcor.ppmi1.ll1	church	Semcor	ppmi0	ll0	10	10	Semcor	ppmi1	ll1	10	10	287	10	10	0.27107192932825
church.Semcor.ppmi0.ll0.Semcor.ppmi2.ll0	church	Semcor	ppmi0	ll0	10	10	Semcor	ppmi2	ll0	10	10	287	10	10	0.267252877814756
church.Semcor.ppmi0.ll0.Semcor.ppmi2.ll1	church	Semcor	ppmi0	ll0	10	10	Semcor	ppmi2	ll1	10	10	287	10	10	0.267409483454898
church.Semcor.ppmi0.ll1.COHA.ppmi0.ll0	church	Semcor	ppmi0	ll1	10	10	COHA	ppmi0	ll0	10	10	278	10	10	0.238698078581583
church.Semcor.ppmi0.ll1.COHA.ppmi0.ll1	church	Semcor	ppmi0	ll1	10	10	COHA	ppmi0	ll1	10	10	278	10	10	0.243361394172601
church.Semcor.ppmi0.ll1.COHA.ppmi1.ll0	church	Semcor	ppmi0	ll1	10	10	COHA	ppmi1	ll0	10	10	278	10	10	0.223052934638251
church.Semcor.ppmi0.ll1.COHA.ppmi1.ll1	church	Semcor	ppmi0	ll1	10	10	COHA	ppmi1	ll1	10	10	278	10	10	0.222664183248402
church.Semcor.ppmi0.ll1.COHA.ppmi2.ll0	church	Semcor	ppmi0	ll1	10	10	COHA	ppmi2	ll0	10	10	272	10	10	0.236399724638464
church.Semcor.ppmi0.ll1.COHA.ppmi2.ll1	church	Semcor	ppmi0	ll1	10	10	COHA	ppmi2	ll1	10	10	272	10	10	0.236600408296631
church.Semcor.ppmi0.ll1.Semcor.ppmi0.ll0	church	Semcor	ppmi0	ll1	10	10	Semcor	ppmi0	ll0	10	10	278	10	10	0.274902579513003
church.Semcor.ppmi0.ll1.Semcor.ppmi0.ll1	church	Semcor	ppmi0	ll1	10	10	Semcor	ppmi0	ll1	10	10	278	10	10	0.278051783294072
church.Semcor.ppmi0.ll1.Semcor.ppmi1.ll0	church	Semcor	ppmi0	ll1	10	10	Semcor	ppmi1	ll0	10	10	278	10	10	0.272489780515915
church.Semcor.ppmi0.ll1.Semcor.ppmi1.ll1	church	Semcor	ppmi0	ll1	10	10	Semcor	ppmi1	ll1	10	10	278	10	10	0.272539058316269
church.Semcor.ppmi0.ll1.Semcor.ppmi2.ll0	church	Semcor	ppmi0	ll1	10	10	Semcor	ppmi2	ll0	10	10	278	10	10	0.260569398680696
church.Semcor.ppmi0.ll1.Semcor.ppmi2.ll1	church	Semcor	ppmi0	ll1	10	10	Semcor	ppmi2	ll1	10	10	278	10	10	0.260397542917658
church.Semcor.ppmi1.ll0.COHA.ppmi0.ll0	church	Semcor	ppmi1	ll0	10	10	COHA	ppmi0	ll0	10	10	239	10	10	0.244568648460481
church.Semcor.ppmi1.ll0.COHA.ppmi0.ll1	church	Semcor	ppmi1	ll0	10	10	COHA	ppmi0	ll1	10	10	239	10	10	0.247459313174966
church.Semcor.ppmi1.ll0.COHA.ppmi1.ll0	church	Semcor	ppmi1	ll0	10	10	COHA	ppmi1	ll0	10	10	239	10	10	0.25047096186252
church.Semcor.ppmi1.ll0.COHA.ppmi1.ll1	church	Semcor	ppmi1	ll0	10	10	COHA	ppmi1	ll1	10	10	239	10	10	0.251900304612544
church.Semcor.ppmi1.ll0.COHA.ppmi2.ll0	church	Semcor	ppmi1	ll0	10	10	COHA	ppmi2	ll0	10	10	239	10	10	0.257361606507265
church.Semcor.ppmi1.ll0.COHA.ppmi2.ll1	church	Semcor	ppmi1	ll0	10	10	COHA	ppmi2	ll1	10	10	239	10	10	0.259370949813411
church.Semcor.ppmi1.ll0.Semcor.ppmi0.ll0	church	Semcor	ppmi1	ll0	10	10	Semcor	ppmi0	ll0	10	10	239	10	10	0.278654852448739
church.Semcor.ppmi1.ll0.Semcor.ppmi0.ll1	church	Semcor	ppmi1	ll0	10	10	Semcor	ppmi0	ll1	10	10	239	10	10	0.280732766876746
church.Semcor.ppmi1.ll0.Semcor.ppmi1.ll0	church	Semcor	ppmi1	ll0	10	10	Semcor	ppmi1	ll0	10	10	239	10	10	0.280226737348696
church.Semcor.ppmi1.ll0.Semcor.ppmi1.ll1	church	Semcor	ppmi1	ll0	10	10	Semcor	ppmi1	ll1	10	10	239	10	10	0.279506661130017
church.Semcor.ppmi1.ll0.Semcor.ppmi2.ll0	church	Semcor	ppmi1	ll0	10	10	Semcor	ppmi2	ll0	10	10	239	10	10	0.279885800982644
church.Semcor.ppmi1.ll0.Semcor.ppmi2.ll1	church	Semcor	ppmi1	ll0	10	10	Semcor	ppmi2	ll1	10	10	239	10	10	0.28092749540947
church.Semcor.ppmi1.ll1.COHA.ppmi0.ll0	church	Semcor	ppmi1	ll1	10	10	COHA	ppmi0	ll0	10	10	238	10	10	0.243256239610387
church.Semcor.ppmi1.ll1.COHA.ppmi0.ll1	church	Semcor	ppmi1	ll1	10	10	COHA	ppmi0	ll1	10	10	238	10	10	0.246968002762923
church.Semcor.ppmi1.ll1.COHA.ppmi1.ll0	church	Semcor	ppmi1	ll1	10	10	COHA	ppmi1	ll0	10	10	238	10	10	0.248934838390324
church.Semcor.ppmi1.ll1.COHA.ppmi1.ll1	church	Semcor	ppmi1	ll1	10	10	COHA	ppmi1	ll1	10	10	238	10	10	0.253021886491296
church.Semcor.ppmi1.ll1.COHA.ppmi2.ll0	church	Semcor	ppmi1	ll1	10	10	COHA	ppmi2	ll0	10	10	238	10	10	0.25768268972812
church.Semcor.ppmi1.ll1.COHA.ppmi2.ll1	church	Semcor	ppmi1	ll1	10	10	COHA	ppmi2	ll1	10	10	238	10	10	0.25768268972812
church.Semcor.ppmi1.ll1.Semcor.ppmi0.ll0	church	Semcor	ppmi1	ll1	10	10	Semcor	ppmi0	ll0	10	10	238	10	10	0.277842254745725
church.Semcor.ppmi1.ll1.Semcor.ppmi0.ll1	church	Semcor	ppmi1	ll1	10	10	Semcor	ppmi0	ll1	10	10	238	10	10	0.278229179916915
church.Semcor.ppmi1.ll1.Semcor.ppmi1.ll0	church	Semcor	ppmi1	ll1	10	10	Semcor	ppmi1	ll0	10	10	238	10	10	0.27871090486129
church.Semcor.ppmi1.ll1.Semcor.ppmi1.ll1	church	Semcor	ppmi1	ll1	10	10	Semcor	ppmi1	ll1	10	10	238	10	10	0.278084747544368
church.Semcor.ppmi1.ll1.Semcor.ppmi2.ll0	church	Semcor	ppmi1	ll1	10	10	Semcor	ppmi2	ll0	10	10	238	10	10	0.280000232525538
church.Semcor.ppmi1.ll1.Semcor.ppmi2.ll1	church	Semcor	ppmi1	ll1	10	10	Semcor	ppmi2	ll1	10	10	238	10	10	0.279304067131725
church.Semcor.ppmi2_5.ll0.COHA.ppmi0.ll0	church	Semcor	ppmi2_5	ll0	10	10	COHA	ppmi0	ll0	10	10	159	10	10	0.24169962710392
church.Semcor.ppmi2_5.ll0.COHA.ppmi0.ll1	church	Semcor	ppmi2_5	ll0	10	10	COHA	ppmi0	ll1	10	10	159	10	10	0.243169969099773
church.Semcor.ppmi2_5.ll0.COHA.ppmi1.ll0	church	Semcor	ppmi2_5	ll0	10	10	COHA	ppmi1	ll0	10	10	159	10	10	0.241378615201137
church.Semcor.ppmi2_5.ll0.COHA.ppmi1.ll1	church	Semcor	ppmi2_5	ll0	10	10	COHA	ppmi1	ll1	10	10	159	10	10	0.242114124420954
church.Semcor.ppmi2_5.ll0.COHA.ppmi2.ll0	church	Semcor	ppmi2_5	ll0	10	10	COHA	ppmi2	ll0	10	10	159	10	10	0.25087420014108
church.Semcor.ppmi2_5.ll0.COHA.ppmi2.ll1	church	Semcor	ppmi2_5	ll0	10	10	COHA	ppmi2	ll1	10	10	159	10	10	0.251590817681279
church.Semcor.ppmi2_5.ll0.Semcor.ppmi0.ll0	church	Semcor	ppmi2_5	ll0	10	10	Semcor	ppmi0	ll0	10	10	159	10	10	0.268683137614858
church.Semcor.ppmi2_5.ll0.Semcor.ppmi0.ll1	church	Semcor	ppmi2_5	ll0	10	10	Semcor	ppmi0	ll1	10	10	159	10	10	0.269573557924764
church.Semcor.ppmi2_5.ll0.Semcor.ppmi1.ll0	church	Semcor	ppmi2_5	ll0	10	10	Semcor	ppmi1	ll0	10	10	159	10	10	0.267888941996378
church.Semcor.ppmi2_5.ll0.Semcor.ppmi1.ll1	church	Semcor	ppmi2_5	ll0	10	10	Semcor	ppmi1	ll1	10	10	159	10	10	0.270776718966156
church.Semcor.ppmi2_5.ll0.Semcor.ppmi2.ll0	church	Semcor	ppmi2_5	ll0	10	10	Semcor	ppmi2	ll0	10	10	159	10	10	0.268429705506958
church.Semcor.ppmi2_5.ll0.Semcor.ppmi2.ll1	church	Semcor	ppmi2_5	ll0	10	10	Semcor	ppmi2	ll1	10	10	159	10	10	0.26731170896146
church.Semcor.ppmi2_5.ll1.COHA.ppmi0.ll0	church	Semcor	ppmi2_5	ll1	10	10	COHA	ppmi0	ll0	10	10	159	10	10	0.242084405838586
church.Semcor.ppmi2_5.ll1.COHA.ppmi0.ll1	church	Semcor	ppmi2_5	ll1	10	10	COHA	ppmi0	ll1	10	10	159	10	10	0.246154039021326
church.Semcor.ppmi2_5.ll1.COHA.ppmi1.ll0	church	Semcor	ppmi2_5	ll1	10	10	COHA	ppmi1	ll0	10	10	159	10	10	0.242389377044451
church.Semcor.ppmi2_5.ll1.COHA.ppmi1.ll1	church	Semcor	ppmi2_5	ll1	10	10	COHA	ppmi1	ll1	10	10	159	10	10	0.243786948217664
church.Semcor.ppmi2_5.ll1.COHA.ppmi2.ll0	church	Semcor	ppmi2_5	ll1	10	10	COHA	ppmi2	ll0	10	10	159	10	10	0.249983792628722
church.Semcor.ppmi2_5.ll1.COHA.ppmi2.ll1	church	Semcor	ppmi2_5	ll1	10	10	COHA	ppmi2	ll1	10	10	159	10	10	0.2506154666811
church.Semcor.ppmi2_5.ll1.Semcor.ppmi0.ll0	church	Semcor	ppmi2_5	ll1	10	10	Semcor	ppmi0	ll0	10	10	159	10	10	0.271582986401527
church.Semcor.ppmi2_5.ll1.Semcor.ppmi0.ll1	church	Semcor	ppmi2_5	ll1	10	10	Semcor	ppmi0	ll1	10	10	159	10	10	0.269547931894668
church.Semcor.ppmi2_5.ll1.Semcor.ppmi1.ll0	church	Semcor	ppmi2_5	ll1	10	10	Semcor	ppmi1	ll0	10	10	159	10	10	0.269978861443832
church.Semcor.ppmi2_5.ll1.Semcor.ppmi1.ll1	church	Semcor	ppmi2_5	ll1	10	10	Semcor	ppmi1	ll1	10	10	159	10	10	0.269387135146343
church.Semcor.ppmi2_5.ll1.Semcor.ppmi2.ll0	church	Semcor	ppmi2_5	ll1	10	10	Semcor	ppmi2	ll0	10	10	159	10	10	0.268345965245386
church.Semcor.ppmi2_5.ll1.Semcor.ppmi2.ll1	church	Semcor	ppmi2_5	ll1	10	10	Semcor	ppmi2	ll1	10	10	159	10	10	0.269585399457843
church.Semcor.ppmi2.ll0.COHA.ppmi0.ll0	church	Semcor	ppmi2	ll0	10	10	COHA	ppmi0	ll0	10	10	184	10	10	0.247294772557524
church.Semcor.ppmi2.ll0.COHA.ppmi0.ll1	church	Semcor	ppmi2	ll0	10	10	COHA	ppmi0	ll1	10	10	184	10	10	0.250778387065195
church.Semcor.ppmi2.ll0.COHA.ppmi1.ll0	church	Semcor	ppmi2	ll0	10	10	COHA	ppmi1	ll0	10	10	184	10	10	0.249046756242632
church.Semcor.ppmi2.ll0.COHA.ppmi1.ll1	church	Semcor	ppmi2	ll0	10	10	COHA	ppmi1	ll1	10	10	184	10	10	0.2491606379439
church.Semcor.ppmi2.ll0.COHA.ppmi2.ll0	church	Semcor	ppmi2	ll0	10	10	COHA	ppmi2	ll0	10	10	184	10	10	0.257298258085015
church.Semcor.ppmi2.ll0.COHA.ppmi2.ll1	church	Semcor	ppmi2	ll0	10	10	COHA	ppmi2	ll1	10	10	184	10	10	0.256370529169811
church.Semcor.ppmi2.ll0.Semcor.ppmi0.ll0	church	Semcor	ppmi2	ll0	10	10	Semcor	ppmi0	ll0	10	10	184	10	10	0.270500633463449
church.Semcor.ppmi2.ll0.Semcor.ppmi0.ll1	church	Semcor	ppmi2	ll0	10	10	Semcor	ppmi0	ll1	10	10	184	10	10	0.272688111880181
church.Semcor.ppmi2.ll0.Semcor.ppmi1.ll0	church	Semcor	ppmi2	ll0	10	10	Semcor	ppmi1	ll0	10	10	184	10	10	0.272612970128815
church.Semcor.ppmi2.ll0.Semcor.ppmi1.ll1	church	Semcor	ppmi2	ll0	10	10	Semcor	ppmi1	ll1	10	10	184	10	10	0.273299680477316
church.Semcor.ppmi2.ll0.Semcor.ppmi2.ll0	church	Semcor	ppmi2	ll0	10	10	Semcor	ppmi2	ll0	10	10	184	10	10	0.269430761473682
church.Semcor.ppmi2.ll0.Semcor.ppmi2.ll1	church	Semcor	ppmi2	ll0	10	10	Semcor	ppmi2	ll1	10	10	184	10	10	0.270420087805888
church.Semcor.ppmi2.ll1.COHA.ppmi0.ll0	church	Semcor	ppmi2	ll1	10	10	COHA	ppmi0	ll0	10	10	184	10	10	0.245686271884343
church.Semcor.ppmi2.ll1.COHA.ppmi0.ll1	church	Semcor	ppmi2	ll1	10	10	COHA	ppmi0	ll1	10	10	184	10	10	0.250114389635976
church.Semcor.ppmi2.ll1.COHA.ppmi1.ll0	church	Semcor	ppmi2	ll1	10	10	COHA	ppmi1	ll0	10	10	184	10	10	0.249307472665988
church.Semcor.ppmi2.ll1.COHA.ppmi1.ll1	church	Semcor	ppmi2	ll1	10	10	COHA	ppmi1	ll1	10	10	184	10	10	0.248624465863167
church.Semcor.ppmi2.ll1.COHA.ppmi2.ll0	church	Semcor	ppmi2	ll1	10	10	COHA	ppmi2	ll0	10	10	184	10	10	0.257093882847478
church.Semcor.ppmi2.ll1.COHA.ppmi2.ll1	church	Semcor	ppmi2	ll1	10	10	COHA	ppmi2	ll1	10	10	184	10	10	0.255984831495718
church.Semcor.ppmi2.ll1.Semcor.ppmi0.ll0	church	Semcor	ppmi2	ll1	10	10	Semcor	ppmi0	ll0	10	10	184	10	10	0.271072004462489
church.Semcor.ppmi2.ll1.Semcor.ppmi0.ll1	church	Semcor	ppmi2	ll1	10	10	Semcor	ppmi0	ll1	10	10	184	10	10	0.272910377436087
church.Semcor.ppmi2.ll1.Semcor.ppmi1.ll0	church	Semcor	ppmi2	ll1	10	10	Semcor	ppmi1	ll0	10	10	184	10	10	0.270026729276507
church.Semcor.ppmi2.ll1.Semcor.ppmi1.ll1	church	Semcor	ppmi2	ll1	10	10	Semcor	ppmi1	ll1	10	10	184	10	10	0.271567144011994
church.Semcor.ppmi2.ll1.Semcor.ppmi2.ll0	church	Semcor	ppmi2	ll1	10	10	Semcor	ppmi2	ll0	10	10	184	10	10	0.269710916827495
church.Semcor.ppmi2.ll1.Semcor.ppmi2.ll1	church	Semcor	ppmi2	ll1	10	10	Semcor	ppmi2	ll1	10	10	184	10	10	0.270019610103169
church.Semcor.ppmi3.ll0.COHA.ppmi0.ll0	church	Semcor	ppmi3	ll0	10	10	COHA	ppmi0	ll0	10	10	129	10	10	0.225054330576632
church.Semcor.ppmi3.ll0.COHA.ppmi0.ll1	church	Semcor	ppmi3	ll0	10	10	COHA	ppmi0	ll1	10	10	129	10	10	0.224695874489996
church.Semcor.ppmi3.ll0.COHA.ppmi1.ll0	church	Semcor	ppmi3	ll0	10	10	COHA	ppmi1	ll0	10	10	129	10	10	0.22375306588215
church.Semcor.ppmi3.ll0.COHA.ppmi1.ll1	church	Semcor	ppmi3	ll0	10	10	COHA	ppmi1	ll1	10	10	129	10	10	0.221734075199407
church.Semcor.ppmi3.ll0.COHA.ppmi2.ll0	church	Semcor	ppmi3	ll0	10	10	COHA	ppmi2	ll0	10	10	129	10	10	0.231567469419941
church.Semcor.ppmi3.ll0.COHA.ppmi2.ll1	church	Semcor	ppmi3	ll0	10	10	COHA	ppmi2	ll1	10	10	129	10	10	0.231170562208777
church.Semcor.ppmi3.ll0.Semcor.ppmi0.ll0	church	Semcor	ppmi3	ll0	10	10	Semcor	ppmi0	ll0	10	10	129	10	10	0.248649311087552
church.Semcor.ppmi3.ll0.Semcor.ppmi0.ll1	church	Semcor	ppmi3	ll0	10	10	Semcor	ppmi0	ll1	10	10	129	10	10	0.247334577363917
church.Semcor.ppmi3.ll0.Semcor.ppmi1.ll0	church	Semcor	ppmi3	ll0	10	10	Semcor	ppmi1	ll0	10	10	129	10	10	0.246766323534256
church.Semcor.ppmi3.ll0.Semcor.ppmi1.ll1	church	Semcor	ppmi3	ll0	10	10	Semcor	ppmi1	ll1	10	10	129	10	10	0.247173510455372
church.Semcor.ppmi3.ll0.Semcor.ppmi2.ll0	church	Semcor	ppmi3	ll0	10	10	Semcor	ppmi2	ll0	10	10	129	10	10	0.245194159239795
church.Semcor.ppmi3.ll0.Semcor.ppmi2.ll1	church	Semcor	ppmi3	ll0	10	10	Semcor	ppmi2	ll1	10	10	129	10	10	0.245194159239795
church.Semcor.ppmi3.ll1.COHA.ppmi0.ll0	church	Semcor	ppmi3	ll1	10	10	COHA	ppmi0	ll0	10	10	129	10	10	0.225516118920787
church.Semcor.ppmi3.ll1.COHA.ppmi0.ll1	church	Semcor	ppmi3	ll1	10	10	COHA	ppmi0	ll1	10	10	129	10	10	0.226574937298269
church.Semcor.ppmi3.ll1.COHA.ppmi1.ll0	church	Semcor	ppmi3	ll1	10	10	COHA	ppmi1	ll0	10	10	129	10	10	0.220595594849195
church.Semcor.ppmi3.ll1.COHA.ppmi1.ll1	church	Semcor	ppmi3	ll1	10	10	COHA	ppmi1	ll1	10	10	129	10	10	0.22567187354852
church.Semcor.ppmi3.ll1.COHA.ppmi2.ll0	church	Semcor	ppmi3	ll1	10	10	COHA	ppmi2	ll0	10	10	129	10	10	0.230352160397693
church.Semcor.ppmi3.ll1.COHA.ppmi2.ll1	church	Semcor	ppmi3	ll1	10	10	COHA	ppmi2	ll1	10	10	129	10	10	0.228880841433255
church.Semcor.ppmi3.ll1.Semcor.ppmi0.ll0	church	Semcor	ppmi3	ll1	10	10	Semcor	ppmi0	ll0	10	10	129	10	10	0.248052442368766
church.Semcor.ppmi3.ll1.Semcor.ppmi0.ll1	church	Semcor	ppmi3	ll1	10	10	Semcor	ppmi0	ll1	10	10	129	10	10	0.248590629953878
church.Semcor.ppmi3.ll1.Semcor.ppmi1.ll0	church	Semcor	ppmi3	ll1	10	10	Semcor	ppmi1	ll0	10	10	129	10	10	0.247557126238299
church.Semcor.ppmi3.ll1.Semcor.ppmi1.ll1	church	Semcor	ppmi3	ll1	10	10	Semcor	ppmi1	ll1	10	10	129	10	10	0.246430293499519
church.Semcor.ppmi3.ll1.Semcor.ppmi2.ll0	church	Semcor	ppmi3	ll1	10	10	Semcor	ppmi2	ll0	10	10	129	10	10	0.245194159239795
church.Semcor.ppmi3.ll1.Semcor.ppmi2.ll1	church	Semcor	ppmi3	ll1	10	10	Semcor	ppmi2	ll1	10	10	129	10	10	0.245194159239795
state.Semcor.ppmi0.ll0.COHA.ppmi0.ll0	state	Semcor	ppmi0	ll0	10	10	COHA	ppmi0	ll0	10	10	906	10	10	0.249088045405535
state.Semcor.ppmi0.ll0.COHA.ppmi0.ll1	state	Semcor	ppmi0	ll0	10	10	COHA	ppmi0	ll1	10	10	906	10	10	0.253039253836675
state.Semcor.ppmi0.ll0.COHA.ppmi1.ll0	state	Semcor	ppmi0	ll0	10	10	COHA	ppmi1	ll0	10	10	906	10	10	0.253788467031007
state.Semcor.ppmi0.ll0.COHA.ppmi1.ll1	state	Semcor	ppmi0	ll0	10	10	COHA	ppmi1	ll1	10	10	906	10	10	0.253511401466381
state.Semcor.ppmi0.ll0.COHA.ppmi2.ll0	state	Semcor	ppmi0	ll0	10	10	COHA	ppmi2	ll0	10	10	905	10	10	0.0982561284871978
state.Semcor.ppmi0.ll0.COHA.ppmi2.ll1	state	Semcor	ppmi0	ll0	10	10	COHA	ppmi2	ll1	10	10	905	10	10	0.0982536366205489
state.Semcor.ppmi0.ll0.Semcor.ppmi0.ll0	state	Semcor	ppmi0	ll0	10	10	Semcor	ppmi0	ll0	10	10	921	10	10	0.285620361081576
state.Semcor.ppmi0.ll0.Semcor.ppmi0.ll1	state	Semcor	ppmi0	ll0	10	10	Semcor	ppmi0	ll1	10	10	906	10	10	0.288806554598005
state.Semcor.ppmi0.ll0.Semcor.ppmi1.ll0	state	Semcor	ppmi0	ll0	10	10	Semcor	ppmi1	ll0	10	10	906	10	10	0.28970572363614
state.Semcor.ppmi0.ll0.Semcor.ppmi1.ll1	state	Semcor	ppmi0	ll0	10	10	Semcor	ppmi1	ll1	10	10	906	10	10	0.28970572363614
state.Semcor.ppmi0.ll0.Semcor.ppmi2.ll0	state	Semcor	ppmi0	ll0	10	10	Semcor	ppmi2	ll0	10	10	906	10	10	0.267988811721778
state.Semcor.ppmi0.ll0.Semcor.ppmi2.ll1	state	Semcor	ppmi0	ll0	10	10	Semcor	ppmi2	ll1	10	10	906	10	10	0.267965554746366
state.Semcor.ppmi0.ll1.COHA.ppmi0.ll0	state	Semcor	ppmi0	ll1	10	10	COHA	ppmi0	ll0	10	10	867	10	10	0.249710765888578
state.Semcor.ppmi0.ll1.COHA.ppmi0.ll1	state	Semcor	ppmi0	ll1	10	10	COHA	ppmi0	ll1	10	10	867	10	10	0.256641698561554
